Name                                                                                                  Stmts   Miss  Cover
myvenv\Lib\site-packages\django\utils\html_parser.py                                                     12      2    83%
myvenv\Lib\site-packages\django\utils\http.py                                                           202    147    27%
myvenv\Lib\site-packages\django\utils\inspect.py                                                         68     47    31%
myvenv\Lib\site-packages\django\utils\ipv6.py                                                           113    103     9%
myvenv\Lib\site-packages\django\utils\itercompat.py                                                       6      5    17%
myvenv\Lib\site-packages\django\utils\log.py                                                             86     48    44%
myvenv\Lib\site-packages\django\utils\lorem_ipsum.py                                                     31     22    29%
myvenv\Lib\site-packages\django\utils\lru_cache.py                                                      106    104     2%
myvenv\Lib\site-packages\django\utils\module_loading.py                                                  95     62    35%
myvenv\Lib\site-packages\django\utils\numberformat.py                                                    35     29    17%
myvenv\Lib\site-packages\django\utils\regex_helper.py                                                   188    175     7%
myvenv\Lib\site-packages\django\utils\safestring.py                                                      66     36    45%
myvenv\Lib\site-packages\django\utils\six.py                                                            451    198    56%
myvenv\Lib\site-packages\django\utils\synch.py                                                           56     39    30%
myvenv\Lib\site-packages\django\utils\termcolors.py                                                      57     35    39%
myvenv\Lib\site-packages\django\utils\text.py                                                           219    166    24%
myvenv\Lib\site-packages\django\utils\timesince.py                                                       40     31    22%
myvenv\Lib\site-packages\django\utils\timezone.py                                                       149     92    38%
myvenv\Lib\site-packages\django\utils\translation\__init__.py                                           132     56    58%
myvenv\Lib\site-packages\django\utils\translation\trans_real.py                                         432    287    34%
myvenv\Lib\site-packages\django\utils\tree.py                                                            49     18    63%
myvenv\Lib\site-packages\django\utils\version.py                                                         41     14    66%
myvenv\Lib\site-packages\django\utils\xmlutils.py                                                        16      9    44%
myvenv\Lib\site-packages\django\views\__init__.py                                                         2      0   100%
myvenv\Lib\site-packages\django\views\debug.py                                                          290    242    17%
myvenv\Lib\site-packages\django\views\decorators\__init__.py                                              0      0   100%
myvenv\Lib\site-packages\django\views\decorators\cache.py                                                27     18    33%
myvenv\Lib\site-packages\django\views\decorators\csrf.py                                                 27      9    67%
myvenv\Lib\site-packages\django\views\decorators\debug.py                                                21     13    38%
myvenv\Lib\site-packages\django\views\generic\__init__.py                                                 8      0   100%
myvenv\Lib\site-packages\django\views\generic\base.py                                                   108     66    39%
myvenv\Lib\site-packages\django\views\generic\dates.py                                                  320    216    32%
myvenv\Lib\site-packages\django\views\generic\detail.py                                                  80     54    32%
myvenv\Lib\site-packages\django\views\generic\edit.py                                                   116     66    43%
myvenv\Lib\site-packages\django\views\generic\list.py                                                    99     66    33%
myvenv\Lib\site-packages\django\views\i18n.py                                                           180    138    23%
myvenv\Lib\site-packages\django\views\static.py                                                          62     45    27%
myvenv\Lib\site-packages\psycopg2\__init__.py                                                            25      6    76%
myvenv\Lib\site-packages\psycopg2\_ipaddress.py                                                          27     19    30%
myvenv\Lib\site-packages\psycopg2\_json.py                                                               76     39    49%
myvenv\Lib\site-packages\psycopg2\_range.py                                                             247    159    36%
myvenv\Lib\site-packages\psycopg2\extensions.py                                                          94     26    72%
myvenv\Lib\site-packages\psycopg2\extras.py                                                             633    475    25%
myvenv\Lib\site-packages\psycopg2\tz.py                                                                  61     37    39%
myvenv\Lib\site-packages\rest_framework\__init__.py                                                       8      0   100%
myvenv\Lib\site-packages\rest_framework\models.py                                                         0      0   100%
myvenv\Lib\site-packages\storages\__init__.py                                                             1      0   100%
myvenv\Lib\site-packages\yaml\__init__.py                                                               133     89    33%
myvenv\Lib\site-packages\yaml\composer.py                                                                92     76    17%
